player_name,team,conf,GP,Min_per,dunksmade,stops,pts
Antoine Hosley,Washington,P10,14,2.2,0,3.98202,0.5
Aziz N'Diaye,Washington,P10,35,43.1,17,133409,4.6286
Terrence Ross,Washington,P10,34,42.1,13,110908,8.0294
Skylar Jones,Niagara,MAAC,31,44.8,1,96.1495,5.1613
Sam de Haas,St. Bonaventure,A10,22,10,0,14.6546,0.9091
Bryon Allen,George Mason,CAA,27,11.4,0,19.3371,1.3704
Corey Wickware,SIU Edwardsville,ind,25,74.6,0,111003,11.76
Kevin Panzer,Nevada,WAC,31,27.3,0,57.6775,2.2581
Dane Suttle Jr.,Pepperdine,WCC,32,35.3,0,63.0557,3.9688
Zane Gibson,Middle Tennessee,SB,8,2.1,0,3.71962,125
Emanuel Chapman,North Carolina Central,ind,22,24.3,0,54.0208,2.0909
Jordan Burris,Nevada,WAC,29,25.1,0,56.9584,2.8966
Jeremy Crutcher,Alabama A&M,SWAC,25,64.2,0,120372,5.16
Rod Singleton,Montana St.,BSky,29,74.5,0,138463,8069
Donte Himes,Jackson St.,SWAC,1,0.2,,0.192179,0
Santoine Butler,Gardner Webb,BSth,25,20.3,6,44.4823,3.2
Andrew Osemhen,Kennesaw St.,ASun,26,19.9,1,39.65,1.3846
Stefan Nastic,Stanford,P10,5,4.4,3,11.0782,3
Isaiah Roberts,Navy,Pat,30,56.5,2,121663,5.5667
Marcus Graham,North Carolina Central,ind,3,0.7,0,1614,1
Rj Hall,Kennesaw St.,ASun,6,0.7,0,0.869924,0
John Gage,Stanford,P10,20,13.3,0,25.5428,3.75
Edward Townsel,Arkansas St.,SB,30,35.2,0,69.8918,4.3667
Kore White,Florida Atlantic,SB,30,56.7,13,127594,7.7667
Mathis Keita,Gonzaga,WCC,22,15,1,35.9083,2.4545
Marquise Carter,Gonzaga,WCC,34,47.9,0,112429,6.2941
Harrison Barnes,North Carolina,ACC,37,73.2,19,206999,15.6757
Chase Kammerer,Air Force,MWC,1,0.7,0,0.781422,0
Jake Lockhart,Morgan St.,MEAC,7,0.6,0,0.677681,0
Rakeem Brookins,Siena,MAAC,28,70.4,0,145151,8.9643
Damien Alexander,Alabama A&M,SWAC,24,20.7,0,30.0749,2375
Tracy O'Neal,North Carolina Central,ind,19,14.6,2,24.7561,1.1579
James Walker III,Utah St.,WAC,24,16.9,0,41.4041,2
Jesse Berry,Ball St.,MAC,30,59.1,0,90459,9.2667
Tyrae Robinson,Ball St.,MAC,28,41.2,0,76.8842,4.25
Nemanja Mikic,George Washington,A10,31,60.1,1,112327,8129
Chris Fitzgerald,George Washington,A10,13,7.5,0,13.7578,3.0769
Jason Morris,Georgia Tech,ACC,31,45.4,15,93121,6.0323
Austin Carroll,Rutgers,BE,25,20.5,0,36.3014,2.68
Nate Hicks,Georgia Tech,ACC,24,18,3,39.7807,1625
Harper Kamp,California,P10,33,80.7,3,176427,14.2121
Tim Douglas,Portland,WCC,28,44.3,0,93.0272,7.6786
Ben Eisenhardt,Cal Poly,BW,18,7,0,11.3136,0.6111
Charlie Reddick,Furman,SC,27,14.1,1,34821,2.3333
Luis Jacobo,Stetson,ASun,30,71,6,137908,9.5333
Jeff Havenstein,Longwood,ind,22,13.3,0,22.9419,0.9091
Diego Morales,Stetson,ASun,2,0.2,0,0.24445,2
Mark Parker,Longwood,ind,22,12.4,0,23461,2.1818
Robert Williams,UAB,CUSA,28,26,1,56.0521,1.7143
Kelly Lawson,Sam Houston St.,Slnd,12,3.8,0,5.59186,0.3333
Morgan Jordan,Michigan,B10,34,59.5,,150482,8.8235
Tony Wroblicky,American,Pat,30,16.8,0,41.4051,1.2667
Wayne Simon II,American,Pat,7,1.5,0,3.87174,0
Charles Hinkle,American,Pat,23,24,0,53.0266,4.4783
Aaron Graham,Stetson,ASun,29,47.2,1,97.0169,6.3448
Gary Pope,Elon,SC,12,0.4,0,1.13945,0
Theo Hatcher,Albany,AE,1,0.1,,0.085167,0
Tommy Spagnolo,Radford,BSth,12,17.3,0,33.6133,1.3333
Lucas Weavil,Elon,SC,1,0.1,,0.146402,0
Tré Bussey,Georgia Southern,SC,27,50.9,0,79.2242,6.3333
Sam Mike,Georgia Southern,SC,24,14.4,1,23.6642,875
Justin Taylor,Georgia Southern,SC,10,7,0,13.0076,0.9
Jamal Curry,Radford,BSth,7,6.8,0,10.9358,0.7143
Tolga Cerrah,Radford,BSth,24,64.8,3,110952,7.75
Jarvis Williams,Green Bay,Horz,24,45.8,4,107042,8.2917
Alec Brown,Green Bay,Horz,31,62.9,6,151.8,10.2903
Kazadi Nyanguila,New Hampshire,AE,10,6.8,0,12.2551,1.3
Jio Fontan,USC,P10,24,55.4,0,103317,10.5417
Will Barton,Memphis,CUSA,35,75.6,18,203291,12.3143
Eric Strangis,USC,P10,6,0.5,,0.726439,0
Curtis Washington,USC,P10,3,0.8,,1.0962,0
Garrett Jackson,USC,P10,33,26.2,1,58.8437,3.2424
Jared Bartling,South Dakota,GWC,6,2.5,0,4.67437,0
J.R. Sims,Eastern Michigan,MAC,21,29,0,49.5563,3.6667
Chris Barnum,Stanford,P10,1,0.2,,1.20863,0
Lonell Reeves,Louisiana Monroe,SB,14,19.8,0,27.2204,0.8571
Christian Bibi Ndongo,Louisiana Monroe,SB,21,15.3,0,27.38,1.7143
Ife Eke,Louisiana Monroe,SB,5,1.4,0,2.39297,0
Hugh Mingo,Louisiana Monroe,SB,29,84.7,1,169.79,9.5172
Demetrius Jemison,Manhattan,MAAC,22,59.8,4,133281,10.3636
Robert Martina,Manhattan,MAAC,17,13.8,1,23.6306,2.7059
Kidani Brutus,Manhattan,MAAC,31,78.2,0,141.6,9.5161
Chuck Coley,Pacific,BW,24,12.6,1,25.1644,875
Michael Alvarado,Manhattan,MAAC,26,68.7,0,128.25,11.1923
Rhamel Brown,Manhattan,MAAC,31,69.4,24,171.03,6.6774
Jerome Hamilton,Wichita St.,MVC,3,0.5,1,1.6829,1.3333
Patrik Auda,Seton Hall,BE,24,29.4,0,62.5789,3.2083
Richard Wonnell,Toledo,MAC,25,11.5,0,22.4241,0.6
Reese Holliday,Toledo,MAC,22,56.9,0,114961,10.8182
Fuquan Edwin,Seton Hall,BE,31,61.4,2,148903,7.9032
Vander Joaquim,Hawaii,WAC,30,66.1,12,176773,9.7333
